Year,State,State Code,Deaths,Population
1990,Louisiana,22,2669,3520354
1990,Maine,23,1086,1052471
1990,Maryland,24,3085,4085414
1990,Massachusetts,25,5001,5218455
1990,Michigan,26,6645,7891581
1990,Minnesota,27,3317,3689079
1990,Mississippi,28,2024,2161767
1990,Missouri,29,4754,4364122
1990,Montana,30,725,673639
1990,Nebraska,31,1583,1331168
1990,Nevada,32,906,1022276
1990,New Hampshire,33,736,943061
1990,New Jersey,34,5532,6692324
1990,New Mexico,35,1004,1255199
1990,New York,36,14730,15524032
1990,North Carolina,37,4709,5721531
1990,North Dakota,38,466,538423
1990,Ohio,39,8360,9257367
1990,Oklahoma,40,3002,2671361
1990,Oregon,41,2510,2427770
1990,Pennsylvania,42,10348,10284707
1990,Rhode Island,44,752,871453
1990,South Carolina,45,2225,2968244
1990,South Dakota,46,566,582008
1990,Tennessee,47,4050,4200556
1990,Texas,48,10667,14175197
1990,Utah,49,859,1367196
1990,Vermont,50,486,479214
1990,Virginia,51,4140,5313828
1990,Washington,53,3741,4122412
1990,West Virginia,54,1954,1565043
1990,Wisconsin,55,3803,4150881
1990,Wyoming,56,357,377644
1991,Alabama,1,3497,3521617
1991,Arizona,4,3191,3185587
1991,Arkansas,5,2279,2042291
1991,California,6,21289,25504215
1991,Colorado,8,2729,2864305
1991,Connecticut,9,2442,2850523
1991,Delaware,10,476,583479
1991,District of Columbia,11,424,529593
1991,Florida,12,11177,11590380
1991,Georgia,13,4693,5644959
1991,Hawaii,15,654,967946
1991,Idaho,16,854,870126
1991,Illinois,17,9120,9857639
1991,Indiana,18,4560,4813941
1991,Iowa,19,2717,2399176
1991,Kansas,20,2147,2114593
1991,Kentucky,21,3601,3209587
1991,Louisiana,22,2789,3570874
1991,Maine,23,1034,1062643
1991,Maryland,24,3139,4145568
1991,Massachusetts,25,5169,5204485
1991,Michigan,26,6700,7987672
1991,Minnesota,27,3442,3754328
1991,Mississippi,28,1927,2198717
1991,Missouri,29,4667,4418463
1991,Montana,30,755,685533
1991,Nebraska,31,1498,1350814
1991,Nevada,32,976,1101158
1991,New Hampshire,33,770,943770
1991,New Jersey,34,5406,6745412
1991,New Mexico,35,1134,1291560
1991,New York,36,14019,15593128
1991,North Carolina,37,4944,5856481
1991,North Dakota,38,510,539926
1991,Ohio,39,8674,9366248
1991,Oklahoma,40,2878,2701546
1991,Oregon,41,2407,2505625
