"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2005"	"2005"	"New York"	"36"	14429	16771102	86.0
	"2005"	"2005"	"North Carolina"	"37"	7598	7546914	100.7
	"2005"	"2005"	"North Dakota"	"38"	560	568453	98.5
	"2005"	"2005"	"Ohio"	"39"	11126	9971561	111.6
	"2005"	"2005"	"Oklahoma"	"40"	3938	3066084	128.4
	"2005"	"2005"	"Oregon"	"41"	2948	3160036	93.3
	"2005"	"2005"	"Pennsylvania"	"42"	12241	10981711	111.5
	"2005"	"2005"	"Rhode Island"	"44"	954	942162	101.3
	"2005"	"2005"	"South Carolina"	"45"	3488	3717077	93.8
	"2005"	"2005"	"South Dakota"	"46"	803	670030	119.8
	"2005"	"2005"	"Tennessee"	"47"	5780	5208616	111.0
	"2005"	"2005"	"Texas"	"48"	14322	19293001	74.2
	"2005"	"2005"	"Utah"	"49"	1181	2012236	58.7
	"2005"	"2005"	"Vermont"	"50"	584	552914	105.6
	"2005"	"2005"	"Virginia"	"51"	5787	6600456	87.7
	"2005"	"2005"	"Washington"	"53"	4575	5448749	84.0
	"2005"	"2005"	"West Virginia"	"54"	2295	1613459	142.2
	"2005"	"2005"	"Wisconsin"	"55"	4516	4839337	93.3
	"2005"	"2005"	"Wyoming"	"56"	482	448416	107.5
"Total"	"2005"	"2005"			238569	256210132	93.1
	"2006"	"2006"	"Alabama"	"01"	4104	4028178	101.9
	"2006"	"2006"	"Alaska"	"02"	246	577798	42.6
	"2006"	"2006"	"Arizona"	"04"	4695	5152356	91.1
	"2006"	"2006"	"Arkansas"	"05"	2746	2439974	112.5
	"2006"	"2006"	"California"	"06"	23167	31073407	74.6
	"2006"	"2006"	"Colorado"	"08"	3195	4071963	78.5
	"2006"	"2006"	"Connecticut"	"09"	2967	3082398	96.3
	"2006"	"2006"	"Delaware"	"10"	632	750976	84.2
	"2006"	"2006"	"District of Columbia"	"11"	262	513356	51.0
	"2006"	"2006"	"Florida"	"12"	13974	16037900	87.1
	"2006"	"2006"	"Georgia"	"13"	6351	7832947	81.1
	"2006"	"2006"	"Hawaii"	"15"	807	1149165	70.2
	"2006"	"2006"	"Idaho"	"16"	1062	1244106	85.4
	"2006"	"2006"	"Illinois"	"17"	9485	10942193	86.7
	"2006"	"2006"	"Indiana"	"18"	5608	5465613	102.6
	"2006"	"2006"	"Iowa"	"19"	3005	2595518	115.8
	"2006"	"2006"	"Kansas"	"20"	2604	2378391	109.5
	"2006"	"2006"	"Kentucky"	"21"	4182	3670738	113.9
	"2006"	"2006"	"Louisiana"	"22"	3211	3725787	86.2
	"2006"	"2006"	"Maine"	"23"	1342	1177263	114.0
	"2006"	"2006"	"Maryland"	"24"	3728	4903552	76.0
	"2006"	"2006"	"Massachusetts"	"25"	5586	5652624	98.8
	"2006"	"2006"	"Michigan"	"26"	7614	8730763	87.2
	"2006"	"2006"	"Minnesota"	"27"	3065	4476057	68.5
	"2006"	"2006"	"Mississippi"	"28"	2558	2498878	102.4
	"2006"	"2006"	"Missouri"	"29"	5286	5080299	104.0
	"2006"	"2006"	"Montana"	"30"	943	836470	112.7
	"2006"	"2006"	"Nebraska"	"31"	1537	1525766	100.7
	"2006"	"2006"	"Nevada"	"32"	1811	2171288	83.4
	"2006"	"2006"	"New Hampshire"	"33"	1010	1153553	87.6
	"2006"	"2006"	"New Jersey"	"34"	5481	7544316	72.7
	"2006"	"2006"	"New Mexico"	"35"	1500	1691725	88.7
	"2006"	"2006"	"New York"	"36"	13236	16779069	78.9
	"2006"	"2006"	"North Carolina"	"37"	7293	7729851	94.3
	"2006"	"2006"	"North Dakota"	"38"	521	571365	91.2
	"2006"	"2006"	"Ohio"	"39"	10054	9998197	100.6
	"2006"	"2006"	"Oklahoma"	"40"	3598	3102900	116.0
	"2006"	"2006"	"Oregon"	"41"	2905	3212096	90.4
	"2006"	"2006"	"Pennsylvania"	"42"	11215	11043264	101.6
	"2006"	"2006"	"Rhode Island"	"44"	957	940044	101.8
	"2006"	"2006"	"South Carolina"	"45"	3425	3794476	90.3
	"2006"	"2006"	"South Dakota"	"46"	668	676157	98.8
	"2006"	"2006"	"Tennessee"	"47"	5519	5294338	104.2
	"2006"	"2006"	"Texas"	"48"	13859	19778521	70.1
	"2006"	"2006"	"Utah"	"49"	1196	2064033	57.9
	"2006"	"2006"	"Vermont"	"50"	488	555305	87.9
	"2006"	"2006"	"Virginia"	"51"	5433	6688600	81.2
	"2006"	"2006"	"Washington"	"53"	4438	5550147	80.0
	"2006"	"2006"	"West Virginia"	"54"	2223	1620596	137.2
	"2006"	"2006"	"Wisconsin"	"55"	4191	4867083	86.1
	"2006"	"2006"	"Wyoming"	"56"	554	454981	121.8
"Total"	"2006"	"2006"			225537	258896341	87.1
	"2007"	"2007"	"Alabama"	"01"	4405	4066527	108.3
	"2007"	"2007"	"Alaska"	"02"	293	582051	50.3
	"2007"	"2007"	"Arizona"	"04"	4275	5270003	81.1
	"2007"	"2007"	"Arkansas"	"05"	2908	2462465	118.1
